"x","y"
807943.6,9640349.5
807942.6,9640348.5
807943.6,9640348.5
807944.6,9640348.5
807945.6,9640348.5
807942.6,9640347.5
807943.6,9640347.5
807944.6,9640347.5
807945.6,9640347.5
807946.6,9640347.5
807942.6,9640346.5
807943.6,9640346.5
807944.6,9640346.5
807945.6,9640346.5
807946.6,9640346.5
807947.6,9640346.5
807941.6,9640345.5
807942.6,9640345.5
807943.6,9640345.5
807944.6,9640345.5
807945.6,9640345.5
807946.6,9640345.5
807947.6,9640345.5
807948.6,9640345.5
807949.6,9640345.5
807941.6,9640344.5
807942.6,9640344.5
807943.6,9640344.5
807944.6,9640344.5
807945.6,9640344.5
807946.6,9640344.5
807947.6,9640344.5
807948.6,9640344.5
807949.6,9640344.5
807950.6,9640344.5
807940.6,9640343.5
807941.6,9640343.5
807942.6,9640343.5
807943.6,9640343.5
807944.6,9640343.5
807945.6,9640343.5
807946.6,9640343.5
807947.6,9640343.5
807948.6,9640343.5
807949.6,9640343.5
807950.6,9640343.5
807951.6,9640343.5
807940.6,9640342.5
807941.6,9640342.5
807942.6,9640342.5
807943.6,9640342.5
807944.6,9640342.5
807945.6,9640342.5
807946.6,9640342.5
807947.6,9640342.5
807948.6,9640342.5
807949.6,9640342.5
807950.6,9640342.5
807951.6,9640342.5
807952.6,9640342.5
807953.6,9640342.5
807940.6,9640341.5
807941.6,9640341.5
807942.6,9640341.5
807943.6,9640341.5
807944.6,9640341.5
807945.6,9640341.5
807946.6,9640341.5
807947.6,9640341.5
807948.6,9640341.5
807949.6,9640341.5
807950.6,9640341.5
807951.6,9640341.5
807952.6,9640341.5
807953.6,9640341.5
807954.6,9640341.5
807939.6,9640340.5
807940.6,9640340.5
807941.6,9640340.5
807942.6,9640340.5
807943.6,9640340.5
807944.6,9640340.5
807945.6,9640340.5
807946.6,9640340.5
807947.6,9640340.5
807948.6,9640340.5
807949.6,9640340.5
807950.6,9640340.5
807951.6,9640340.5
807952.6,9640340.5
807953.6,9640340.5
807954.6,9640340.5
807955.6,9640340.5
807956.6,9640340.5
807939.6,9640339.5
807940.6,9640339.5
807941.6,9640339.5
807942.6,9640339.5
807943.6,9640339.5
807944.6,9640339.5
807945.6,9640339.5
807946.6,9640339.5
807947.6,9640339.5
807948.6,9640339.5
807949.6,9640339.5
807950.6,9640339.5
807951.6,9640339.5
807952.6,9640339.5
807953.6,9640339.5
807954.6,9640339.5
807955.6,9640339.5
807956.6,9640339.5
807957.6,9640339.5
807939.6,9640338.5
807940.6,9640338.5
807941.6,9640338.5
807942.6,9640338.5
807943.6,9640338.5
807944.6,9640338.5
807945.6,9640338.5
807946.6,9640338.5
807947.6,9640338.5
807948.6,9640338.5
807949.6,9640338.5
807950.6,9640338.5
807951.6,9640338.5
807952.6,9640338.5
807953.6,9640338.5
807954.6,9640338.5
807955.6,9640338.5
807956.6,9640338.5
807957.6,9640338.5
807958.6,9640338.5
807938.6,9640337.5
807939.6,9640337.5
807940.6,9640337.5
807941.6,9640337.5
807942.6,9640337.5
807943.6,9640337.5
807944.6,9640337.5
807945.6,9640337.5
807946.6,9640337.5
807947.6,9640337.5
807948.6,9640337.5
807949.6,9640337.5
807950.6,9640337.5
807951.6,9640337.5
807952.6,9640337.5
807953.6,9640337.5
807954.6,9640337.5
807955.6,9640337.5
807956.6,9640337.5
807957.6,9640337.5
807958.6,9640337.5
807959.6,9640337.5
807960.6,9640337.5
807938.6,9640336.5
807939.6,9640336.5
807940.6,9640336.5
807941.6,9640336.5
807942.6,9640336.5
807943.6,9640336.5
807944.6,9640336.5
807945.6,9640336.5
807946.6,9640336.5
807947.6,9640336.5
807948.6,9640336.5
807949.6,9640336.5
807950.6,9640336.5
