stake;upper;lower;d;x;y;PH;CLAY;EXPH;EXCA;EXMG;ECEC;TOOC;TOPH;TOCA;FRAG
49;20;40;30;808159.371;9639821.742;5.65;485.5;165;2.07;0.58;5.0917725753;8;1.1;0.7;0
49;40;60;50;808159.371;9639821.742;5.46;562.5;135;1.17;0.49;3.9371683389;4.9;0.9;0.4;0
49;60;80;70;808159.371;9639821.742;5.29;589.5;137;1.05;0.52;3.7171683389;4.3;1;0.3;0
49;80;100;90;808159.371;9639821.742;5.27;576.5;148;1.1;0.52;3.2397324415;4.1;0.9;0.4;0
50;0;20;10;808181.012;9639856.429;5.31;232.5;74;2.87;0.58;7.3476700111;17.5;0.7;1.1;0.31
50;20;40;30;808181.012;9639856.429;5.65;258;99;3;0.27;7.6643366778;13;0.6;1;0.55
50;40;60;50;808181.012;9639856.429;5.73;416.5;80;1.53;0.23;3.7820401338;5.2;0.7;0.5;0
50;60;80;70;808181.012;9639856.429;5.65;507.5;88;1.28;0.21;2.6220401338;4.3;0.7;0.4;0
50;80;100;90;808181.012;9639856.429;5.71;513;101;1.21;0.2;2.1994760312;4.9;0.7;0.4;0
M 36 40X;0;20;10;808042.028;9639911.956;4.52;307.5;97;0.81;0.25;5.3935785953;15.7;0.7;0.5;0.49
M 36 40X;20;40;30;808042.028;9639911.956;4.67;407;84;0.61;0.1;4.1648606466;14.5;0.8;0.3;0.53
M 36 40X;40;60;50;808042.028;9639911.956;4.77;506.5;84;0.69;0.09;3.752296544;10.1;0.9;0.3;0.16
M 36 40X;60;80;70;808042.028;9639911.956;5.01;573.5;91;0.9;0.07;2.1046042363;6.8;0.9;0.3;0.12
M 36 40X;80;100;90;808042.028;9639911.956;5.15;620.5;92;1.08;0.09;2.2097324415;5.4;0.9;0.3;0
M 35 38,5;0;20;10;808070.445;9639956.345;5.53;264;125;4.45;1.1;7.9250947603;30.1;1.4;1.6;0.37
M 35 38,5;20;40;30;808070.445;9639956.345;5.45;400;271;2.21;0.42;5.7143366778;15.9;2;1;0
M 35 38,5;40;60;50;808070.445;9639956.345;5.49;494.5;289;2.3;0.31;3.4492084727;15.1;2.1;1;0
M 35 38,5;60;80;70;808070.445;9639956.345;5.49;575;205;1.82;0.25;2.4371683389;10.7;1.6;0.7;0
M 35 38,5;80;100;90;808070.445;9639956.345;4.9;643;55;0.46;0.04;4.2594760312;5.5;0.7;0.2;0
M 39 X;0;20;10;808103.69;9639918.502;5.58;270;76;2.63;0.36;4.5366332219;18.9;0.8;0.9;0.17
M 39 X;20;40;30;808103.69;9639918.502;5.39;345.5;106;1.57;0.27;3.6943366778;13.1;1;0.6;0.15
M 39 X;40;60;50;808103.69;9639918.502;5.29;481;97;1.05;0.25;3.8066443701;10.1;0.9;0.4;0
M 39 X;60;80;70;808103.69;9639918.502;5.24;534.5;95;0.91;0.23;3.771516165;6.5;0.8;0.3;0
M 39 X;80;100;90;808103.69;9639918.502;5.15;610.5;89;0.84;0.19;2.9463879599;5.5;0.8;0.3;0
MX;0;20;10;808026.006;9640239.48;4.9;362.5;44;0.81;0.47;4.2774136009;15.5;0.5;0.3;0.05
MX;20;40;30;808026.006;9640239.48;5.01;470.5;52;0.63;0.08;2.9346042363;8.2;0.6;0.3;0
MX;40;60;50;808026.006;9640239.48;5.01;528.5;50;0.61;0.06;3.1094760312;7.2;0.7;0.2;0
MX;60;80;70;808026.006;9640239.48;4.91;572;52;0.53;0.05;3.2294760312;6.4;0.7;0.2;0
MX;80;100;90;808026.006;9640239.48;5.4;623.5;161;1.32;0.17;3.6971683389;6.2;1.3;0.6;0
