stake;upper;lower;d;x;y;PH;CLAY;EXPH;EXCA;EXMG;ECEC;TOOC;TOPH;TOCA;FRAG
12;0;20;10;807969.045;9640158.696;5.51;263;106;2.32;0.54;7.7771571906;16.2;0.9;1.2;0.25
12;20;40;30;807969.045;9640158.696;5.52;365;105;1.39;0.29;4.6146042363;11.3;1.1;0.8;0.03
12;40;60;50;807969.045;9640158.696;5.48;512;84;1.15;0.2;3.9520401338;8;0.9;0.8;0
12;60;80;70;807969.045;9640158.696;5.31;588;82;0.93;0.13;3.1969119287;6.4;1;0.6;0
12;80;100;90;807969.045;9640158.696;5.2;628;87;0.91;0.13;3.7069119287;6.3;1.1;0.8;0
13;0;20;10;807998.021;9640199.791;5.23;233.5;44;1.18;0.59;4.8630657748;16.3;0.5;0.7;0.07
13;20;40;30;807998.021;9640199.791;4.8;433;47;0.26;0.17;4.4871683389;9.6;0.7;0.3;0
13;40;60;50;807998.021;9640199.791;4.69;556;51;0.14;0.1;2.9946042363;7;0.7;0.2;0
13;60;80;70;807998.021;9640199.791;4.49;606;54;0.15;0.1;3.1520401338;7.3;0.7;0.3;0
13;80;100;90;807998.021;9640199.791;4.55;635;51;0.19;0.1;2.0520401338;6.2;0.6;0.4;0
14;0;20;10;807939.906;9640116.275;5.43;337;39;2.48;0.87;6.6740802676;18;1.3;1.2;0.24
14;20;40;30;807939.906;9640116.275;5.08;494;137;0.86;0.23;3.9274247492;10.2;1.4;0.7;0.03
14;40;60;50;807939.906;9640116.275;4.97;585;159;0.67;0.15;3.7871683389;9.6;1.4;0.4;0
14;60;80;70;807939.906;9640116.275;5.1;625.5;160;0.64;0.14;3.1297324415;5.1;1.3;0.6;0
14;80;100;90;807939.906;9640116.275;4.99;640.5;190;0.61;0.11;2.5946042363;5.2;1.3;0.7;0
15;0;20;10;807909.252;9640072.253;5.24;329;136;3.06;0.84;8.9233110368;24;1.1;1.7;0
15;20;40;30;807909.252;9640072.253;5.14;561;123;1.52;0.57;5.8648606466;12.4;1.3;0.9;0
15;40;60;50;807909.252;9640072.253;5.04;602.5;141;0.85;0.32;4.0520401338;9.2;1.4;0.6;0
15;60;80;70;807909.252;9640072.253;4.89;774;180;0.66;0.16;4.2094760312;5.6;1.5;0.6;0
15;80;100;90;807909.252;9640072.253;4.85;730.5;219;0.65;0.12;3.1146042363;5.4;1.3;0.7;0
16;0;20;10;807902.435;9640061.465;5.73;351.5;109;6.16;1.06;9.5645707915;29;1.1;2.6;0.07
16;20;40;30;807902.435;9640061.465;5.48;434;207;4.35;0.66;7.0791973244;21.2;1.8;2.1;0.77
16;40;60;50;807902.435;9640061.465;5.45;476.5;268;3.84;0.39;6.7709810479;17.6;1.8;1.5;0.37
16;60;80;70;807902.435;9640061.465;5.48;436.5;724;4.07;0.3;7.7060200669;18.3;3.3;2.7;0
16;80;100;90;807902.435;9640061.465;5.5;547.5;474;2.64;0.26;5.5078929766;13.4;2.1;1.7;0
17;0;20;10;807952.041;9640047.137;5.75;302;409;5.27;0.81;10.4842697882;22;1.4;3.2;0.48
17;20;40;30;807952.041;9640047.137;5.66;410.5;248;3.7;0.65;8.1212486065;15.1;1.2;1.9;0.02
17;40;60;50;807952.041;9640047.137;5.35;289.5;174;1.61;0.38;2.9671683389;8.7;1.2;0.7;0.19
17;60;80;70;807952.041;9640047.137;5.26;581.5;240;1.37;0.33;3.5146042363;6;1.2;0.7;0
17;80;100;90;807952.041;9640047.137;5.23;660.5;213;1.27;0.29;3.3127982163;6.1;1.4;0.6;0
18;0;20;10;807940.997;9640028.31;5.21;450;119;3.14;0.38;7.742541806;25.4;1.1;2.6;0.11
18;20;40;30;807940.997;9640028.31;5.31;569;126;2.35;0.25;6.0551170569;25.7;2;2.3;0
18;40;60;50;807940.997;9640028.31;5;681.5;152;1.14;0.22;3.9897324415;17.3;2.2;1.9;0
18;60;80;70;807940.997;9640028.31;4.89;682;202;0.94;0.19;3.282296544;17.8;3;2.8;0
18;80;100;90;807940.997;9640028.31;4.98;687.5;218;0.78;0.11;2.1246042363;18.7;2.2;1.8;0
19;0;20;10;807985.691;9640011.083;5.37;262.5;161;4.58;1.06;9.1766332219;12.9;1;2.4;0
19;20;40;30;807985.691;9640011.083;5.69;326.5;362;4.62;0.93;9.2501895206;22.5;1.4;2.7;0.93
19;40;60;50;807985.691;9640011.083;5.7;383;834;4.35;0.82;11.2937123746;23.1;3.2;3.4;4.37
19;60;80;70;807985.691;9640011.083;5.61;360.5;762;3.73;0.65;8.9724526198;20.4;2.6;2.6;3.26
19;80;100;90;807985.691;9640011.083;5.55;591.5;173;1.75;0.39;5.0566443701;7.3;1.4;1.4;0.16
